cycle_ts,cycle_date,env,dep_id,milestone,row_id,epic_issue,epic_name,status,status_class
2026-06-04 23:47:38,2026-06-04,,,,139,3668,Catalog / IaC single-source,,ABSENT
2026-06-04 23:47:38,2026-06-04,,,,140,3668,Catalog / IaC single-source,,ABSENT
2026-06-04 23:47:38,2026-06-04,,,,141,3668,Catalog / IaC single-source,,ABSENT
2026-06-04 23:47:38,2026-06-04,,,,142,3668,Catalog / IaC single-source,,ABSENT
2026-06-04 23:47:38,2026-06-04,,,,143,3668,Catalog / IaC single-source,,ABSENT
2026-06-04 23:47:38,2026-06-04,,,,144,3668,Catalog / IaC single-source,,ABSENT
2026-06-04 23:47:38,2026-06-04,,,,145,3668,Catalog / IaC single-source,,ABSENT
2026-06-04 23:47:38,2026-06-04,,,,146,3668,Catalog / IaC single-source,,ABSENT
2026-06-04 23:47:38,2026-06-04,,,,147,3668,Catalog / IaC single-source,,ABSENT
2026-06-04 23:47:38,2026-06-04,,,,148,3668,Catalog / IaC single-source,,ABSENT
2026-06-04 23:47:38,2026-06-04,,,,149,3668,Catalog / IaC single-source,,ABSENT
2026-06-04 23:47:38,2026-06-04,,,,150,3668,Catalog / IaC single-source,,ABSENT
2026-06-04 23:47:38,2026-06-04,,,,151,3668,Catalog / IaC single-source,,ABSENT
2026-06-04 23:47:38,2026-06-04,,,,152,3668,Catalog / IaC single-source,,ABSENT
2026-06-04 23:47:38,2026-06-04,,,,153,3668,Catalog / IaC single-source,,ABSENT
2026-06-04 23:47:38,2026-06-04,,,,154,3668,Catalog / IaC single-source,,ABSENT
2026-06-04 23:47:38,2026-06-04,,,,155,3668,Catalog / IaC single-source,,ABSENT
2026-06-04 23:47:38,2026-06-04,,,,156,3668,Catalog / IaC single-source,,ABSENT
2026-06-04 23:47:38,2026-06-04,,,,157,3668,Catalog / IaC single-source,,ABSENT
2026-06-04 23:47:38,2026-06-04,,,,158,3668,Catalog / IaC single-source,,ABSENT
2026-06-04 23:47:38,2026-06-04,,,,159,3379,SOVEREIGNTY / cutover,,ABSENT
2026-06-04 23:47:38,2026-06-04,,,,160,3379,SOVEREIGNTY / cutover,,ABSENT
2026-06-04 23:47:38,2026-06-04,,,,161,3379,SOVEREIGNTY / cutover,,ABSENT
2026-06-04 23:47:38,2026-06-04,,,,162,3379,SOVEREIGNTY / cutover,,ABSENT
2026-06-04 23:47:38,2026-06-04,,,,163,3379,SOVEREIGNTY / cutover,,ABSENT
2026-06-04 23:47:38,2026-06-04,,,,164,3379,SOVEREIGNTY / cutover,,ABSENT
2026-06-04 23:47:38,2026-06-04,,,,165,3379,SOVEREIGNTY / cutover,,ABSENT
2026-06-04 23:47:38,2026-06-04,,,,166,3379,SOVEREIGNTY / cutover,,ABSENT
2026-06-04 23:47:38,2026-06-04,,,,167,3646,Jobs canvas,,ABSENT
2026-06-04 23:47:38,2026-06-04,,,,168,3646,Jobs canvas,,ABSENT
2026-06-04 23:47:38,2026-06-04,,,,169,3646,Jobs canvas,,ABSENT
2026-06-04 23:47:38,2026-06-04,,,,170,3646,Jobs canvas,,ABSENT
2026-06-04 23:47:38,2026-06-04,,,,171,3646,Jobs canvas,,ABSENT
2026-06-04 23:47:38,2026-06-04,,,,172,3646,Jobs canvas,,ABSENT
2026-06-04 23:47:38,2026-06-04,,,,173,3646,Jobs canvas,,ABSENT
2026-06-04 23:47:38,2026-06-04,,,,174,3646,Jobs canvas,,ABSENT
2026-06-04 23:47:38,2026-06-04,,,,175,3646,Jobs canvas,,ABSENT
2026-06-04 23:47:38,2026-06-04,,,,176,3646,Jobs canvas,,ABSENT
2026-06-04 23:47:38,2026-06-04,,,,177,3646,Jobs canvas,,ABSENT
2026-06-04 23:47:38,2026-06-04,,,,178,3581,UAT doc set regen,,ABSENT
2026-06-04 23:47:38,2026-06-04,,,,179,3581,UAT doc set regen,,ABSENT
2026-06-04 23:47:38,2026-06-04,,,,180,3581,UAT doc set regen,,ABSENT
2026-06-04 23:47:38,2026-06-04,,,,181,3581,UAT doc set regen,,ABSENT
2026-06-04 23:47:38,2026-06-04,,,,182,3581,UAT doc set regen,,ABSENT
2026-06-04 23:47:38,2026-06-04,,,,183,3581,UAT doc set regen,,ABSENT
2026-06-04 23:47:38,2026-06-04,,,,184,3581,UAT doc set regen,,ABSENT
2026-06-04 23:47:38,2026-06-04,,,,185,3581,UAT doc set regen,,ABSENT
2026-06-04 23:47:38,2026-06-04,,,,186,3581,UAT doc set regen,,ABSENT
2026-06-04 23:47:38,2026-06-04,,,,187,4001,Other / single-row epics,,ABSENT
2026-06-04 23:47:38,2026-06-04,,,,188,4001,Other / single-row epics,,ABSENT
2026-06-04 23:47:38,2026-06-04,,,,189,4000,Other / single-row epics,,ABSENT
2026-06-04 23:47:38,2026-06-04,,,,190,3916,Other / single-row epics,,ABSENT
2026-06-04 23:47:38,2026-06-04,,,,191,3916,Other / single-row epics,,ABSENT
2026-06-04 23:47:38,2026-06-04,,,,192,3925,Other / single-row epics,,ABSENT
2026-06-04 23:47:38,2026-06-04,,,,193,3996,Cloud reconciler mgmt,,ABSENT
2026-06-04 23:47:38,2026-06-04,,,,194,3996,Cloud reconciler mgmt,,ABSENT
2026-06-04 23:47:38,2026-06-04,,,,195,3996,Cloud reconciler mgmt,,ABSENT
2026-06-04 23:47:38,2026-06-04,,,,196,3996,Cloud reconciler mgmt,,ABSENT
2026-06-04 23:47:38,2026-06-04,,,,197,3996,Cloud reconciler mgmt,,ABSENT
2026-06-04 23:47:38,2026-06-04,,,,198,3987,Other / single-row epics,,ABSENT
2026-06-04 23:47:38,2026-06-04,,,,199,3998,Cloud network+security view,,ABSENT
2026-06-04 23:47:38,2026-06-04,,,,200,3998,Cloud network+security view,,ABSENT
2026-06-04 23:47:38,2026-06-04,,,,201,3998,Cloud network+security view,,ABSENT
2026-06-04 23:47:38,2026-06-04,,,,202,3998,Cloud network+security view,,ABSENT
2026-06-04 23:47:38,2026-06-04,,,,203,4002,Crossplane adoption seam,,ABSENT
2026-06-04 23:47:38,2026-06-04,,,,204,4002,Crossplane adoption seam,,ABSENT
2026-06-04 23:47:38,2026-06-04,,,,205,4003,Other / single-row epics,,ABSENT
2026-06-04 23:47:38,2026-06-04,,,,206,4002,Crossplane adoption seam,,ABSENT
2026-06-04 23:47:38,2026-06-04,,,,207,4002,Crossplane adoption seam,,ABSENT
2026-06-04 23:47:38,2026-06-04,,,,208,4002,Crossplane adoption seam,,ABSENT
2026-06-04 23:47:38,2026-06-04,,,,209,3971,Other / single-row epics,,ABSENT
2026-06-04 23:47:38,2026-06-04,,,,210,3971,Other / single-row epics,,ABSENT
2026-06-04 23:47:38,2026-06-04,,,,211,3988,OpenOva MCP,,ABSENT
2026-06-04 23:47:38,2026-06-04,,,,212,3988,OpenOva MCP,,ABSENT
2026-06-04 23:47:38,2026-06-04,,,,213,3988,OpenOva MCP,,ABSENT
2026-06-04 23:47:38,2026-06-04,,,,214,3985,Other / single-row epics,,ABSENT
2026-06-04 23:47:38,2026-06-04,,,,215,3985,Other / single-row epics,,ABSENT
2026-06-04 23:47:38,2026-06-04,,,,216,3376,FUNNEL (customer purchase),,ABSENT
2026-06-04 23:47:38,2026-06-04,,,,217,3374,SSO (all surfaces),,ABSENT
2026-06-04 23:47:38,2026-06-04,,,,218,3988,OpenOva MCP,,ABSENT
2026-06-04 23:47:38,2026-06-04,,,,219,3988,OpenOva MCP,,ABSENT
2026-06-04 23:47:38,2026-06-04,,,,220,3988,OpenOva MCP,,ABSENT
2026-06-04 23:47:38,2026-06-04,,,,221,3988,OpenOva MCP,,ABSENT
2026-06-04 23:47:38,2026-06-04,,,,222,3988,OpenOva MCP,,ABSENT
2026-06-04 23:47:38,2026-06-04,,,,223,3988,OpenOva MCP,,ABSENT
