row_id,confidence,box,walk_every_cycles,streak,cross_env_proof,observations,cycles_since_walk,decay_applied,due,last_status,last_env,last_measured
135,0.686,0,1,0,2,44,1,0.85,yes,NOTRUN,hw294,2026-08-11T10:11:14Z
136,0.686,0,1,0,2,44,1,0.85,yes,NOTRUN,hw294,2026-08-11T10:11:14Z
137,0.686,0,1,0,2,44,1,0.85,yes,NOTRUN,hw294,2026-08-11T10:11:14Z
138,0.686,0,1,0,2,44,1,0.85,yes,NOTRUN,hw294,2026-08-11T10:11:14Z
139,0.686,0,1,0,2,44,1,0.85,yes,NOTRUN,hw294,2026-08-11T10:11:14Z
140,0.686,0,1,0,2,44,1,0.85,yes,NOTRUN,hw294,2026-08-11T10:11:14Z
141,0.686,0,1,0,2,44,1,0.85,yes,NOTRUN,hw294,2026-08-11T10:11:14Z
142,0.686,0,1,0,2,44,1,0.85,yes,NOTRUN,hw294,2026-08-11T10:11:14Z
143,0.686,0,1,0,2,44,1,0.85,yes,NOTRUN,hw294,2026-08-11T10:11:14Z
144,0.686,0,1,0,2,44,1,0.85,yes,NOTRUN,hw294,2026-08-11T10:11:14Z
145,0.686,0,1,0,2,44,1,0.85,yes,NOTRUN,hw294,2026-08-11T10:11:14Z
146,0.686,0,1,0,2,44,1,0.85,yes,NOTRUN,hw294,2026-08-11T10:11:14Z
147,0.686,0,1,0,2,44,1,0.85,yes,NOTRUN,hw294,2026-08-11T10:11:14Z
148,0.686,0,1,0,2,44,1,0.85,yes,NOTRUN,hw294,2026-08-11T10:11:14Z
149,0.686,0,1,0,2,44,1,0.85,yes,NOTRUN,hw294,2026-08-11T10:11:14Z
150,0.686,0,1,0,2,44,1,0.85,yes,NOTRUN,hw294,2026-08-11T10:11:14Z
151,0.686,0,1,0,2,44,1,0.85,yes,NOTRUN,hw294,2026-08-11T10:11:14Z
152,0.686,0,1,0,2,44,1,0.85,yes,NOTRUN,hw294,2026-08-11T10:11:14Z
153,0.686,0,1,0,2,44,1,0.85,yes,NOTRUN,hw294,2026-08-11T10:11:14Z
154,0.686,0,1,0,2,44,1,0.85,yes,NOTRUN,hw294,2026-08-11T10:11:14Z
155,0.686,0,1,0,2,44,1,0.85,yes,NOTRUN,hw294,2026-08-11T10:11:14Z
156,0.686,0,1,0,2,44,1,0.85,yes,NOTRUN,hw294,2026-08-11T10:11:14Z
157,0.686,0,1,0,2,44,1,0.85,yes,NOTRUN,hw294,2026-08-11T10:11:14Z
158,0.686,0,1,0,2,44,1,0.85,yes,NOTRUN,hw294,2026-08-11T10:11:14Z
159,0.686,0,1,0,2,44,1,0.85,yes,NOTRUN,hw294,2026-08-11T10:11:14Z
160,0.0996,0,1,0,2,44,1,0.85,yes,NOTRUN,hw294,2026-08-11T10:11:14Z
161,0.686,0,1,0,2,44,1,0.85,yes,NOTRUN,hw294,2026-08-11T10:11:14Z
162,0.0,0,1,0,1,44,1,0.85,yes,FAIL,hw294,2026-08-11T10:11:14Z
163,0.0996,0,1,0,2,44,1,0.85,yes,NOTRUN,hw294,2026-08-11T10:11:14Z
164,0.0495,0,1,0,1,44,1,0.85,yes,NOTRUN,hw294,2026-08-11T10:11:14Z
165,0.3193,0,1,0,1,44,1,0.85,yes,NOTRUN,hw294,2026-08-11T10:11:14Z
166,0.0,0,1,0,1,44,1,0.85,yes,FAIL,hw294,2026-08-11T10:11:14Z
167,0.6863,0,1,0,2,44,1,0.85,yes,NOTRUN,hw294,2026-08-11T10:11:14Z
168,0.6863,0,1,0,2,44,1,0.85,yes,NOTRUN,hw294,2026-08-11T10:11:14Z
169,0.6863,0,1,0,2,44,1,0.85,yes,NOTRUN,hw294,2026-08-11T10:11:14Z
170,0.6863,0,1,0,2,44,1,0.85,yes,NOTRUN,hw294,2026-08-11T10:11:14Z
171,0.6863,0,1,0,2,44,1,0.85,yes,NOTRUN,hw294,2026-08-11T10:11:14Z
172,0.0,0,1,0,1,44,1,0.85,yes,FAIL,hw294,2026-08-11T10:11:14Z
173,0.6863,0,1,0,2,44,1,0.85,yes,NOTRUN,hw294,2026-08-11T10:11:14Z
174,0.6124,0,1,0,2,44,1,0.85,yes,NOTRUN,hw294,2026-08-11T10:11:14Z
175,0.6863,0,1,0,2,44,1,0.85,yes,NOTRUN,hw294,2026-08-11T10:11:14Z
176,0.0,0,1,0,0,44,1,0.85,yes,FAIL,hw294,2026-08-11T10:11:14Z
177,0.0784,0,1,0,1,44,1,0.85,yes,NOTRUN,hw294,2026-08-11T10:11:14Z
178,0.0898,0,1,0,1,44,1,0.85,yes,NOTRUN,hw294,2026-08-11T10:11:14Z
179,0.6863,0,1,0,2,44,1,0.85,yes,NOTRUN,hw294,2026-08-11T10:11:14Z
180,0.6863,0,1,0,2,44,1,0.85,yes,NOTRUN,hw294,2026-08-11T10:11:14Z
181,0.6863,0,1,0,2,44,1,0.85,yes,NOTRUN,hw294,2026-08-11T10:11:14Z
182,0.6863,0,1,0,2,44,1,0.85,yes,NOTRUN,hw294,2026-08-11T10:11:14Z
183,0.0855,0,1,0,1,44,1,0.85,yes,NOTRUN,hw294,2026-08-11T10:11:14Z
184,0.1297,0,1,2,1,45,0,1.0,no,PASS,hw294,2026-08-12 06:20:00
185,0.8015,2,5,2,2,45,0,1.0,no,PASS,hw294,2026-08-12 06:20:00
186,0.6863,0,1,0,2,44,1,0.85,yes,NOTRUN,hw294,2026-08-11T10:11:14Z
187,0.0,0,1,0,1,44,1,0.85,yes,FAIL,hw294,2026-08-11T10:11:14Z
188,0.0,0,1,0,0,45,0,1.0,no,FAIL,hw294,2026-08-12 06:20:00
189,0.0,0,1,0,1,45,0,1.0,no,FAIL,hw294,2026-08-12 06:20:00
190,0.6863,0,1,0,2,44,1,0.85,yes,NOTRUN,hw294,2026-08-11T10:11:14Z
191,0.6863,0,1,0,2,44,1,0.85,yes,NOTRUN,hw294,2026-08-11T10:11:14Z
192,0.0934,0,1,0,1,44,1,0.85,yes,NOTRUN,hw294,2026-08-11T10:11:14Z
193,0.6863,0,1,0,2,44,1,0.85,yes,NOTRUN,hw294,2026-08-11T10:11:14Z
194,0.6863,0,1,0,2,44,1,0.85,yes,NOTRUN,hw294,2026-08-11T10:11:14Z
195,0.0934,0,1,0,1,44,1,0.85,yes,NOTRUN,hw294,2026-08-11T10:11:14Z
196,0.6778,0,1,0,2,44,1,0.85,yes,NOTRUN,hw294,2026-08-11T10:11:14Z
197,0.0,0,1,0,1,44,1,0.85,yes,FAIL,hw294,2026-08-11T10:11:14Z
198,0.6855,0,1,0,2,44,1,0.85,yes,NOTRUN,hw294,2026-08-11T10:11:14Z
199,0.6855,0,1,0,2,44,1,0.85,yes,NOTRUN,hw294,2026-08-11T10:11:14Z
200,0.6855,0,1,0,2,44,1,0.85,yes,NOTRUN,hw294,2026-08-11T10:11:14Z
201,0.6855,0,1,0,2,44,1,0.85,yes,NOTRUN,hw294,2026-08-11T10:11:14Z
202,0.6855,0,1,0,2,44,1,0.85,yes,NOTRUN,hw294,2026-08-11T10:11:14Z
203,0.6855,0,1,0,2,44,1,0.85,yes,NOTRUN,hw294,2026-08-11T10:11:14Z
204,0.6855,0,1,0,2,44,1,0.85,yes,NOTRUN,hw294,2026-08-11T10:11:14Z
205,0.6855,0,1,0,2,44,1,0.85,yes,NOTRUN,hw294,2026-08-11T10:11:14Z
206,0.0,0,1,0,1,45,0,1.0,no,FAIL,hw294,2026-08-12 06:20:00
207,0.0,0,1,0,1,45,0,1.0,no,FAIL,hw294,2026-08-12 06:20:00
208,0.0,0,1,0,1,45,0,1.0,no,FAIL,hw294,2026-08-12 06:20:00
209,0.8012,2,5,2,2,45,0,1.0,no,PASS,hw294,2026-08-12 06:20:00
210,0.8012,2,5,2,2,45,0,1.0,no,PASS,hw294,2026-08-12 06:20:00
